title,start_time,end_time,description,exercise_title,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,muscle_group
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Cycling,0,normal,,,0.8,330,Cardio"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Warm Up,0,normal,,,,300,Cardio"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Bicep Curl (Barbell),0,normal,20,10,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Bicep Curl (Barbell),1,normal,30,9,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Bicep Curl (Barbell),2,normal,30,7,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Hammer Curl (Dumbbell),0,normal,20,10,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Hammer Curl (Dumbbell),1,normal,20,10,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Hammer Curl (Dumbbell),2,normal,30,6,,,Biceps"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Seated Cable Row - V Grip (Cable),0,normal,55,10,,,Upper Back"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Seated Cable Row - V Grip (Cable),1,normal,70,7,,,Upper Back"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Seated Cable Row - V Grip (Cable),2,normal,70,6,,,Upper Back"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Pull Up (Assisted),0,normal,70,10,,,Lats"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Pull Up (Assisted),1,normal,55,9,,,Lats"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Pull Up (Assisted),2,failure,40,3,,,Lats"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Plate Front Raise,0,normal,25,10,,,Shoulders"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Plate Front Raise,1,normal,25,9,,,Shoulders"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Knee Raise Parallel Bars,0,normal,,10,,,Abdominals"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Cycling,0,normal,,,0.8,330,Cardio"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Cycling,1,normal,,,0.8,330,Cardio"
"Morning workout ,""5 Jul 2025 11:11"",""5 Jul 2025 12:08"",,Stretching,0,normal,,,,129,Other"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Warm Up,0,normal,,,,295,Cardio"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Heel Taps,0,normal,,30,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Heel Taps,1,normal,,30,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Heel Taps,2,normal,,30,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Weighted),0,normal,5,12,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Weighted),1,normal,5,10,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Weighted),2,normal,10,9,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Dead Bug,0,normal,,15,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Dead Bug,1,normal,,15,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Dead Bug,2,normal,,15,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Side Bend (Dumbbell),0,normal,30,12,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Side Bend (Dumbbell),1,normal,30,12,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Side Bend (Dumbbell),2,normal,35,8,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Side Bend (Dumbbell),3,normal,35,8,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Machine),0,normal,40,10,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Machine),1,normal,50,9,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Crunch (Machine),2,normal,65,6,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Knee Raise Parallel Bars,0,normal,,15,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Knee Raise Parallel Bars,1,normal,,12,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Cable Crunch,0,normal,27.5,12,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Cable Crunch,1,normal,32.5,8,,,Abdominals"
"Afternoon workout ,""3 Jul 2025 16:25"",""3 Jul 2025 17:19"",,Cycling,0,normal,,,1.1,443,Cardio"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Bench Press (Dumbbell),0,normal,20,12,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Bench Press (Dumbbell),1,normal,30,10,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Bench Press (Dumbbell),2,normal,40,9,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Bench Press (Dumbbell),3,normal,50,5,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Iso-Lateral Chest Press (Machine),0,normal,40,10,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Iso-Lateral Chest Press (Machine),1,normal,40,8,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Iso-Lateral Chest Press (Machine),2,normal,50,6,,,Chest"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Cable),0,normal,10,10,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Cable),1,normal,10,10,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Cable),2,normal,10,8,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Machine),0,normal,30,12,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Machine),1,normal,40,10,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Triceps Extension (Machine),2,normal,50,7,,,Triceps"
"Evening workout ,""2 Jul 2025 19:02"",""2 Jul 2025 19:46"",,Cycling,0,normal,,,1,480,Cardio"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Warm Up,0,normal,,,,213,Cardio"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Box Jump,0,normal,,10,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Extension (Machine),0,normal,40,10,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Extension (Machine),1,normal,55,9,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Extension (Machine),2,normal,70,8,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lying Leg Curl (Machine),0,normal,30,10,,,Hamstrings"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lying Leg Curl (Machine),1,normal,40,8,,,Hamstrings"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lying Leg Curl (Machine),2,normal,50,6,,,Hamstrings"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Standing Calf Raise (Machine),0,normal,130,10,,,Calves"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Standing Calf Raise (Machine),1,normal,150,10,,,Calves"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Standing Calf Raise (Machine),2,normal,170,8,,,Calves"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Press (Machine),0,warmup,118,10,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Press (Machine),1,normal,188,9,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Press (Machine),2,normal,208,8,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Leg Press (Machine),3,normal,228,7,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lunge (Barbell),0,normal,20,10,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lunge (Barbell),1,normal,30,10,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Lunge (Barbell),2,normal,30,8,,,Quadriceps"
"Morning workout ,""1 Jul 2025 07:02"",""1 Jul 2025 08:01"",,Stretching,0,normal,,,,300,Other"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Face Pull,0,warmup,20,12,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Face Pull,1,normal,25,10,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Face Pull,2,normal,30,8,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Face Pull,3,normal,35,6,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Shoulder Press (Machine),0,normal,15,10,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Shoulder Press (Machine),1,normal,30,7,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Shoulder Press (Machine),2,normal,45,5,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Back Extension (Machine),0,normal,100,10,,,Lower Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Back Extension (Machine),1,normal,115,8,,,Lower Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Back Extension (Machine),2,normal,130,6,,,Lower Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lat Pulldown (Cable),0,warmup,30,12,,,Lats"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lat Pulldown (Cable),1,normal,45,10,,,Lats"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lat Pulldown (Cable),2,normal,60,8,,,Lats"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Cable Row - V Grip (Cable),0,normal,55,10,,,Upper Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Cable Row - V Grip (Cable),1,normal,70,8,,,Upper Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Seated Cable Row - V Grip (Cable),2,normal,70,7,,,Upper Back"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lateral Raise (Machine),0,normal,20,12,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lateral Raise (Machine),1,normal,30,8,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Lateral Raise (Machine),2,normal,40,7,,,Shoulders"
"Day 2 (Shoulder and back ),""28 Jun 2025 11:12"",""28 Jun 2025 12:05"",,Warm Up,0,normal,,,,345,Cardio"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Seated Incline Curl (Dumbbell),0,normal,20,10,,,Biceps"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Seated Incline Curl (Dumbbell),1,normal,20,9,,,Biceps"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Seated Incline Curl (Dumbbell),2,normal,30,6,,,Biceps"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Hammer Curl (Dumbbell),0,normal,20,10,,,Biceps"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Hammer Curl (Dumbbell),1,normal,30,7,,,Biceps"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Crunch (Machine),0,normal,40,10,,,Abdominals"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Crunch (Machine),1,normal,50,9,,,Abdominals"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Crunch (Machine),2,normal,65,6,,,Abdominals"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Knee Raise Parallel Bars,0,normal,,15,,,Abdominals"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Knee Raise Parallel Bars,1,normal,,10,,,Abdominals"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Cycling,0,normal,,,1,480,Cardio"
"Day 4 (biceps and abdomen ),""26 Jun 2025 17:04"",""26 Jun 2025 17:43"",,Cycling,1,normal,,,1,480,Cardio"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Bench Press (Barbell),0,warmup,40,10,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Bench Press (Barbell),1,normal,60,10,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Bench Press (Barbell),2,normal,70,8,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Bench Press (Barbell),3,normal,75,5,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Incline Bench Press (Dumbbell),0,warmup,20,10,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Incline Bench Press (Dumbbell),1,normal,30,10,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Incline Bench Press (Dumbbell),2,normal,40,9,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Incline Bench Press (Dumbbell),3,normal,40,8,,,Chest"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Triceps Pushdown,0,warmup,15,12,,,Triceps"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Triceps Pushdown,1,normal,20,10,,,Triceps"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Triceps Pushdown,2,normal,25,9,,,Triceps"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Triceps Pushdown,3,normal,30,7,,,Triceps"
"Day 1 (Chest and triceps),""25 Jun 2025 17:30"",""25 Jun 2025 18:47"",,Triceps Extension (Machine),0,normal,30,12,,,Triceps"
